"location_id","location_name","sex_id","sex_name","age_id","age_name","cause_name","year","val","upper","lower","cause_name_total","val_total","upper_total","lower_total","perc_total"
135,"Brazil",3,"Both",1,"Under 5","Communicable diseases*",1991,163044.692243213,178165.365731265,151982.947048457,"All causes",215010.400544316,221453.066095898,209332.585492988,0.758310722785747
135,"Brazil",3,"Both",6,"5 to 9","Communicable diseases*",1991,2982.28948458668,4319.85483801514,2565.92711306574,"All causes",11103.1604251615,11318.985483679,10897.0541510629,0.268598252244321
135,"Brazil",3,"Both",7,"10 to 14","Communicable diseases*",1991,1784.06371218775,2653.03071210737,1505.88589574834,"All causes",9078.60642664846,9177.16266821745,8978.16463546898,0.196512947951018
135,"Brazil",3,"Both",8,"15 to 19","Communicable diseases*",1991,2077.6859802211,2830.92316141643,1808.45536683242,"All causes",16924.4704643009,17029.2595548829,16816.1271555386,0.122762244443843
135,"Brazil",3,"Both",9,"20 to 24","Communicable diseases*",1991,3163.15797457035,3792.49200889719,2912.31892231961,"All causes",23658.7936069548,23785.7175976103,23528.3959070583,0.133699039229139
135,"Brazil",3,"Both",10,"25 to 29","Communicable diseases*",1991,4443.7188672673,5049.93399649251,4163.56533322731,"All causes",26265.4160466053,26391.0215487287,26134.5952668813,0.16918516955461
135,"Brazil",3,"Both",11,"30 to 34","Communicable diseases*",1991,5072.65813847355,5596.63659166407,4798.33003858511,"All causes",28176.3893191377,28309.6838897537,28044.0421577762,0.180032227728631
135,"Brazil",3,"Both",12,"35 to 39","Communicable diseases*",1991,4967.11977796297,5384.25329706821,4712.459234575,"All causes",30646.8801968687,30798.3868641669,30493.0207833143,0.162075870237208
135,"Brazil",3,"Both",13,"40 to 44","Communicable diseases*",1991,4551.87102182407,4907.14945412781,4321.16883316671,"All causes",33854.6890550319,34031.8265090494,33676.110038342,0.134453192419663
135,"Brazil",3,"Both",14,"45 to 49","Communicable diseases*",1991,4155.68279283744,4424.30939381747,3963.12017539061,"All causes",36737.9977021714,36929.6414845023,36547.7263937959,0.113116747040131
135,"Brazil",3,"Both",15,"50 to 54","Communicable diseases*",1991,4262.77273521362,4520.06927549846,4058.38385242845,"All causes",44864.3209263139,45077.5911913163,44651.9405626804,0.0950147611108366
135,"Brazil",3,"Both",16,"55 to 59","Communicable diseases*",1991,4372.19914607932,4599.60750294726,4166.65526322835,"All causes",51748.0567693987,51963.6190584179,51535.6880504184,0.0844901126541398
135,"Brazil",3,"Both",17,"60 to 64","Communicable diseases*",1991,4892.71518118986,5137.4143417521,4683.89488451834,"All causes",63333.0611377027,63577.1412378797,63100.1607138097,0.0772537296208028
135,"Brazil",3,"Both",18,"65 to 69","Communicable diseases*",1991,5207.09168437731,5490.14695117991,4963.01483246252,"All causes",70207.3462081274,70497.8479383209,69936.7819592052,0.074167333841975
135,"Brazil",3,"Both",26,"70+ years","Communicable diseases*",1991,24023.7844941645,24973.8911640922,23252.4183689112,"All causes",288796.379878576,289991.331867833,287671.564659732,0.0831858920955494
